product_price,product_original_price,product_star_rating,product_num_ratings,product_minimum_offer_price,is_prime,climate_pledge_friendly,has_variations,coupon_discount,sales_volume
44.52,80.0,4.6,709,44.52,1.0,0.0,1.0,0.0,510
42.5,75.0,4.7,2028,42.5,1.0,0.0,1.0,0.0,101
38.5,70.0,4.5,502,38.5,1.0,0.0,1.0,0.0,214
30.69,50.0,4.5,40996,30.69,1.0,0.0,1.0,0.0,96
60.0,80.0,4.6,397,60.0,1.0,0.0,1.0,0.0,160
41.98,75.0,4.3,2787,41.98,1.0,0.0,1.0,0.0,20
27.95,60.0,4.3,148,27.95,0.0,0.0,1.0,0.0,18
62.0,65.0,4.5,91,62.0,1.0,0.0,1.0,0.0,129
55.99,65.0,4.4,36373,55.99,1.0,0.0,1.0,0.0,252
35.0,0.0,4.6,206,35.0,1.0,0.0,1.0,0.0,49
48.75,65.0,4.5,898,48.75,1.0,0.0,1.0,0.0,42
33.0,60.0,4.1,24,33.0,1.0,0.0,1.0,0.0,36
52.24,65.0,4.7,16203,52.24,1.0,0.0,1.0,0.0,432
15.74,39.99,4.2,12853,15.74,1.0,0.0,1.0,0.0,405
64.99,0.0,4.5,626,64.99,1.0,0.0,1.0,0.0,45
41.79,79.0,4.4,577,41.79,1.0,0.0,1.0,0.0,18
24.99,50.0,4.4,3749,24.99,1.0,0.0,1.0,0.0,192
39.2,69.95,4.5,19615,39.2,1.0,0.0,1.0,0.0,123
29.5,59.0,4.6,2753,29.5,1.0,0.0,1.0,0.0,174
59.99,75.0,4.3,61,59.99,1.0,0.0,1.0,0.0,69
25.47,41.99,4.5,2774,25.47,1.0,0.0,1.0,0.0,124
56.25,75.0,4.5,8123,56.25,1.0,0.0,1.0,0.0,124
44.97,74.0,4.6,26966,44.97,1.0,0.0,1.0,0.0,925
35.69,62.0,4.5,25353,35.69,1.0,0.0,1.0,0.0,109
41.49,0.0,4.3,2046,41.49,1.0,0.0,1.0,0.0,30
49.99,79.0,4.6,718,49.99,1.0,0.0,1.0,0.0,110
29.49,0.0,4.5,231,29.49,1.0,0.0,0.0,0.0,89
41.99,0.0,4.1,1671,41.99,1.0,0.0,1.0,5.0,43
39.92,49.9,4.1,2868,39.92,1.0,0.0,1.0,0.0,829
52.5,70.0,4.3,36,52.5,1.0,0.0,1.0,0.0,45
44.99,49.95,4.4,29,44.99,1.0,0.0,1.0,0.0,26
34.99,70.0,4.0,328,34.99,1.0,1.0,1.0,0.0,103
36.89,70.0,4.2,213,36.89,0.0,1.0,1.0,0.0,95
26.98,54.95,4.4,42060,26.98,1.0,0.0,1.0,0.0,291
60.0,0.0,4.4,61,60.0,0.0,0.0,1.0,0.0,28
0.0,0.0,4.6,60999,54.95,0.0,0.0,1.0,0.0,604
28.79,35.99,4.2,2256,28.79,1.0,0.0,1.0,0.0,170
69.99,0.0,4.6,3565,69.99,1.0,0.0,1.0,0.0,1013
24.95,50.0,4.2,14443,24.95,1.0,0.0,1.0,0.0,49
24.95,60.0,4.6,24,24.95,0.0,0.0,1.0,0.0,15
61.2,80.0,4.5,11101,61.2,1.0,0.0,1.0,0.0,104
99.95,0.0,3.8,45,99.95,1.0,0.0,1.0,0.0,138
0.0,0.0,4.4,5221,74.95,0.0,0.0,1.0,0.0,30
24.99,59.99,3.9,3780,24.99,1.0,0.0,1.0,11.0,44
49.99,0.0,4.0,40,49.99,1.0,0.0,1.0,0.0,11
81.79,150.0,4.4,802,81.79,1.0,0.0,1.0,0.0,292
36.97,79.0,4.5,87,36.97,1.0,0.0,1.0,0.0,30
54.5,80.0,4.5,209,54.5,1.0,0.0,1.0,0.0,124
67.8,84.0,4.4,628,67.8,0.0,0.0,1.0,0.0,97
25.99,0.0,4.2,431,25.99,0.0,0.0,1.0,5.0,22
26.99,0.0,4.2,1050,26.99,1.0,0.0,0.0,0.0,785
39.69,0.0,4.5,106,39.69,1.0,0.0,1.0,0.0,13
159.95,0.0,4.5,8316,159.95,1.0,0.0,1.0,0.0,88
59.32,75.0,4.5,2832,59.32,1.0,0.0,1.0,0.0,127
0.0,0.0,4.4,1196,30.19,0.0,0.0,1.0,0.0,86
22.99,45.0,3.9,96,22.99,1.0,0.0,1.0,0.0,68
22.79,0.0,4.2,412,22.79,1.0,0.0,1.0,0.0,127
29.59,36.99,4.3,4765,29.59,1.0,0.0,1.0,0.0,437
43.22,65.0,4.3,539,43.22,1.0,0.0,1.0,0.0,63
60.0,0.0,4.3,18,60.0,1.0,0.0,1.0,0.0,25
54.99,70.0,4.6,2668,54.99,1.0,0.0,1.0,0.0,905
75.0,0.0,4.6,726,75.0,1.0,0.0,1.0,0.0,6
30.39,37.99,4.3,5019,30.39,1.0,0.0,1.0,0.0,2678
139.99,152.61,4.5,5343,139.99,0.0,0.0,1.0,0.0,198
37.18,59.0,4.5,64018,37.18,1.0,0.0,1.0,0.0,76
85.0,0.0,4.6,575,85.0,1.0,0.0,1.0,0.0,59
0.0,0.0,4.3,5923,110.97,0.0,0.0,1.0,0.0,40
64.64,0.0,4.3,2289,64.64,1.0,0.0,1.0,0.0,221
79.95,0.0,4.6,378,79.95,1.0,0.0,1.0,0.0,31
28.79,69.99,4.2,3931,28.79,1.0,0.0,1.0,0.0,114
45.0,74.95,4.6,6313,45.0,1.0,0.0,1.0,0.0,233
73.99,110.0,4.4,47,73.99,1.0,0.0,1.0,0.0,42
35.0,0.0,4.5,328,35.0,1.0,0.0,1.0,0.0,11
52.5,70.0,4.6,369,52.5,1.0,0.0,1.0,0.0,40
29.99,0.0,4.2,618,29.99,1.0,0.0,1.0,0.0,8
93.0,0.0,4.3,192,93.0,1.0,0.0,1.0,0.0,33
54.0,65.0,4.4,3281,54.0,1.0,0.0,1.0,0.0,18
55.3,79.0,4.6,312,55.3,1.0,0.0,1.0,0.0,13
42.98,0.0,4.4,6037,42.98,1.0,0.0,1.0,0.0,48
33.59,59.0,4.5,3266,33.59,1.0,0.0,1.0,0.0,18
40.3,69.0,4.5,342,40.3,1.0,0.0,1.0,0.0,40
35.19,43.99,4.1,542,35.19,1.0,0.0,1.0,0.0,37
66.93,0.0,4.6,400,66.93,1.0,0.0,1.0,0.0,34
61.23,70.0,4.7,4472,61.23,1.0,0.0,1.0,0.0,116
47.99,0.0,5.0,4,47.99,1.0,0.0,0.0,0.0,13
41.78,59.99,4.4,14037,41.78,1.0,0.0,1.0,0.0,134
49.95,99.0,4.5,148,49.95,0.0,0.0,0.0,0.0,38
25.99,49.99,4.1,1857,25.99,1.0,0.0,0.0,0.0,304
29.99,0.0,4.2,2188,29.99,0.0,0.0,1.0,0.0,52
0.0,0.0,4.5,231,93.0,0.0,0.0,1.0,0.0,98
57.55,70.0,4.6,3644,57.55,1.0,0.0,1.0,0.0,19
35.99,44.99,4.3,1165,35.99,1.0,0.0,1.0,0.0,187
45.99,0.0,4.0,2203,45.99,1.0,0.0,1.0,10.0,15
25.99,0.0,3.8,1376,25.99,1.0,0.0,1.0,0.0,268
0.0,0.0,4.6,1819,124.49,0.0,0.0,1.0,0.0,85
50.07,89.0,4.8,533,50.07,1.0,0.0,1.0,0.0,42
40.3,69.0,4.5,342,40.3,1.0,0.0,1.0,0.0,42
54.0,65.0,4.4,3281,54.0,1.0,0.0,1.0,0.0,44
41.78,59.99,4.4,14037,41.78,1.0,0.0,1.0,0.0,110
44.99,65.0,0.0,0,44.99,0.0,0.0,1.0,0.0,37
45.99,0.0,4.0,2203,45.99,1.0,0.0,1.0,10.0,60
61.23,70.0,4.7,4472,61.23,1.0,0.0,1.0,0.0,97
42.0,55.0,4.4,2588,42.0,1.0,0.0,1.0,0.0,246
25.99,49.99,4.1,1857,25.99,1.0,0.0,0.0,0.0,222
36.97,59.0,4.5,64018,36.97,1.0,0.0,1.0,0.0,38
25.99,0.0,3.8,1376,25.99,1.0,0.0,1.0,0.0,304
101.99,179.99,4.5,2254,101.99,0.0,0.0,1.0,0.0,447
0.0,0.0,4.5,231,93.0,0.0,0.0,1.0,0.0,115
29.99,0.0,4.2,618,29.99,1.0,0.0,1.0,0.0,49
47.99,0.0,5.0,4,47.99,1.0,0.0,0.0,0.0,41
35.99,44.99,4.3,1165,35.99,1.0,0.0,1.0,0.0,112
44.11,75.0,4.6,571,44.11,0.0,0.0,1.0,0.0,7
64.99,100.0,4.3,34,64.99,1.0,0.0,1.0,0.0,114
57.55,70.0,4.6,3644,57.55,1.0,0.0,1.0,0.0,31
50.0,70.0,4.5,104,50.0,1.0,0.0,1.0,0.0,0
50.07,89.0,4.8,533,50.07,1.0,0.0,1.0,0.0,30
48.99,52.87,4.7,4,48.99,1.0,0.0,1.0,0.0,1
29.99,0.0,4.2,2188,29.99,0.0,0.0,1.0,0.0,41
44.99,65.99,4.2,1548,44.99,1.0,0.0,1.0,15.0,64
51.61,70.0,4.5,2960,51.61,1.0,0.0,1.0,0.0,83
41.25,55.0,4.6,1398,41.25,1.0,0.0,1.0,0.0,132
0.0,0.0,4.5,7114,64.49,0.0,0.0,1.0,0.0,76
0.0,0.0,4.5,16,94.99,0.0,0.0,1.0,0.0,24
49.95,99.0,4.5,148,49.95,0.0,0.0,0.0,0.0,17
37.98,79.0,4.5,339,37.98,1.0,0.0,0.0,0.0,105
52.5,70.0,4.7,14920,52.5,1.0,0.0,1.0,0.0,20
39.0,89.0,4.6,251,39.0,1.0,0.0,1.0,0.0,50
29.58,50.99,4.3,12762,29.58,1.0,0.0,1.0,0.0,194
49.99,75.0,4.4,24082,49.99,1.0,0.0,0.0,0.0,167
21.99,0.0,4.3,481,21.99,1.0,0.0,1.0,0.0,422
24.99,49.99,4.1,3925,24.99,1.0,0.0,0.0,0.0,424
45.0,70.0,4.6,8606,45.0,0.0,0.0,1.0,0.0,216
24.98,0.0,4.4,2926,24.98,1.0,0.0,1.0,0.0,25
29.98,0.0,4.4,2857,29.98,1.0,0.0,1.0,0.0,11
39.99,0.0,4.2,8358,39.99,1.0,0.0,1.0,0.0,105
41.56,79.0,4.5,189,41.56,1.0,0.0,1.0,0.0,13
99.99,0.0,4.6,10561,99.99,1.0,0.0,1.0,0.0,142
52.23,64.99,4.3,376,52.23,1.0,0.0,1.0,0.0,100
39.0,70.0,4.6,1174,39.0,1.0,0.0,1.0,0.0,215
0.0,0.0,4.6,723,0.0,0.0,0.0,0.0,0.0,110
29.15,0.0,4.4,51,29.15,1.0,0.0,0.0,0.0,21
29.99,59.99,4.0,41,29.99,1.0,0.0,1.0,0.0,20
0.0,0.0,4.3,761,90.84,0.0,0.0,1.0,0.0,205
0.0,0.0,4.6,2750,134.95,0.0,0.0,1.0,0.0,44
31.28,69.0,4.6,1987,31.28,1.0,0.0,1.0,0.0,28
36.98,75.0,4.7,72,36.98,1.0,0.0,0.0,0.0,4
37.98,75.0,4.5,1742,37.98,1.0,0.0,1.0,0.0,37
53.66,0.0,4.4,10,53.66,1.0,0.0,1.0,0.0,47
44.99,59.99,4.2,8049,44.99,1.0,0.0,1.0,0.0,135
44.17,55.0,4.2,45,44.17,1.0,0.0,0.0,0.0,23
41.78,49.99,4.3,9376,41.78,1.0,0.0,1.0,0.0,116
26.34,0.0,4.5,953,26.34,1.0,0.0,1.0,0.0,230
29.22,37.99,4.5,913,29.22,1.0,0.0,1.0,0.0,13
30.8,80.0,5.0,10,30.8,1.0,0.0,1.0,0.0,33
43.22,65.0,4.3,14,43.22,0.0,0.0,1.0,0.0,98
32.99,0.0,4.2,1477,32.99,1.0,0.0,1.0,0.0,41
54.0,65.0,4.6,11200,54.0,1.0,0.0,1.0,0.0,25
44.97,0.0,4.3,6049,44.97,1.0,0.0,1.0,0.0,53
37.99,44.95,5.0,30,37.99,1.0,0.0,1.0,0.0,63
43.16,60.0,4.5,3972,43.16,1.0,0.0,1.0,0.0,169
60.99,0.0,4.4,58,60.99,1.0,0.0,1.0,0.0,36
44.98,55.0,4.5,4867,44.98,1.0,0.0,1.0,0.0,112
38.0,75.0,4.4,3502,38.0,1.0,0.0,1.0,0.0,70
0.0,0.0,4.6,707,66.0,0.0,0.0,1.0,0.0,27
40.53,55.0,4.5,34,40.53,1.0,0.0,1.0,0.0,32
29.99,0.0,4.2,4194,29.99,1.0,0.0,1.0,0.0,52
10.99,19.99,4.4,1403,10.99,1.0,1.0,1.0,0.0,24
19.95,24.95,4.4,21,19.95,0.0,0.0,1.0,0.0,11
54.95,60.0,0.0,0,54.95,0.0,0.0,1.0,0.0,6
56.02,75.0,4.5,27,56.02,1.0,0.0,1.0,0.0,7
31.19,38.99,4.4,2226,31.19,1.0,0.0,1.0,0.0,30
51.06,70.0,4.7,64,51.06,1.0,0.0,1.0,0.0,57
0.0,0.0,4.5,2294,59.95,0.0,0.0,1.0,0.0,29
100.0,0.0,4.6,1009,100.0,1.0,0.0,1.0,0.0,31
40.18,0.0,4.3,160,40.18,1.0,0.0,0.0,0.0,38
35.0,65.0,5.0,4,35.0,1.0,0.0,1.0,0.0,31
37.94,0.0,4.7,365,37.94,1.0,0.0,1.0,0.0,95
23.99,39.99,4.0,99,23.99,1.0,0.0,1.0,0.0,49
35.0,0.0,4.4,4288,35.0,1.0,0.0,1.0,0.0,14
15.98,23.99,4.4,23,15.98,1.0,0.0,1.0,0.0,103
39.72,59.95,4.5,4171,39.72,1.0,0.0,1.0,0.0,41
60.33,75.0,4.4,37,60.33,0.0,0.0,1.0,0.0,33
23.99,0.0,4.1,1123,23.99,1.0,0.0,1.0,0.0,39
37.99,39.99,4.6,852,37.99,1.0,0.0,1.0,0.0,42
42.99,0.0,4.0,3071,42.99,1.0,0.0,1.0,8.0,39
56.56,80.0,4.6,78,56.56,1.0,0.0,1.0,0.0,22
25.92,40.0,4.5,909,25.92,1.0,0.0,1.0,0.0,72
39.99,0.0,4.1,4907,39.99,0.0,0.0,1.0,0.0,186
45.83,89.0,4.4,122,45.83,1.0,0.0,1.0,0.0,32
42.69,89.0,4.6,519,42.69,1.0,0.0,1.0,0.0,38
59.99,70.0,4.0,13,59.99,0.0,0.0,1.0,0.0,40
29.99,0.0,4.2,1442,29.99,1.0,0.0,1.0,0.0,25
41.97,80.0,4.6,404,41.97,1.0,0.0,1.0,0.0,43
19.99,0.0,4.5,103,19.99,1.0,0.0,1.0,0.0,23
38.94,40.83,4.6,1045,38.94,1.0,0.0,0.0,0.0,23
54.1,0.0,4.3,31,54.1,1.0,0.0,1.0,0.0,52
35.19,46.99,4.2,266,35.19,1.0,0.0,1.0,0.0,16
33.9,39.99,4.2,10641,33.9,1.0,0.0,1.0,0.0,36
71.89,95.0,4.5,6454,71.89,0.0,0.0,1.0,0.0,37
19.99,0.0,4.3,238,19.99,1.0,1.0,1.0,0.0,42
19.99,21.09,4.1,2247,19.99,1.0,0.0,1.0,0.0,166
18.56,29.0,4.3,17,18.56,1.0,0.0,1.0,0.0,49
29.66,42.99,4.4,5053,29.66,1.0,0.0,1.0,0.0,38
29.99,0.0,4.1,1482,29.99,1.0,0.0,1.0,0.0,42
39.23,0.0,4.5,512,39.23,1.0,0.0,1.0,0.0,17
35.19,43.99,4.3,9321,35.19,1.0,0.0,1.0,0.0,11
26.3,59.0,4.5,4929,26.3,1.0,0.0,1.0,0.0,36
19.99,25.99,4.2,339,19.99,1.0,0.0,1.0,0.0,31
47.95,65.0,4.6,560,47.95,0.0,0.0,1.0,0.0,357
40.73,69.0,4.5,489,40.73,1.0,0.0,1.0,0.0,30
39.99,0.0,4.1,2343,39.99,0.0,0.0,1.0,0.0,12
39.99,60.0,4.5,931,39.99,1.0,0.0,1.0,0.0,100
60.0,0.0,4.5,6695,60.0,1.0,0.0,1.0,0.0,59
37.49,45.0,4.4,592,37.49,1.0,0.0,1.0,0.0,48
47.51,60.0,4.2,906,47.51,1.0,0.0,1.0,0.0,14
19.99,0.0,4.3,13,19.99,1.0,0.0,1.0,0.0,35
33.78,40.43,4.7,99,33.78,1.0,0.0,1.0,0.0,38
74.99,85.0,3.8,139,74.99,1.0,0.0,1.0,0.0,25
35.78,75.0,4.5,5827,35.78,0.0,0.0,1.0,0.0,16
55.85,65.0,4.8,34,55.85,1.0,0.0,1.0,0.0,8
44.99,0.0,4.1,267,44.99,1.0,0.0,1.0,15.0,44
35.19,43.99,4.3,1834,35.19,1.0,0.0,1.0,0.0,56
19.95,0.0,4.3,213,19.95,1.0,0.0,1.0,0.0,16
35.62,47.99,4.4,11208,35.62,1.0,0.0,1.0,0.0,16
52.5,65.0,4.5,458,52.5,1.0,0.0,1.0,0.0,32
30.0,55.0,3.9,17,30.0,1.0,0.0,1.0,0.0,6
35.0,0.0,4.4,180,35.0,1.0,0.0,1.0,0.0,33
19.99,29.99,4.0,39,19.99,1.0,0.0,1.0,0.0,39
42.49,0.0,4.1,13,42.49,1.0,0.0,0.0,0.0,22
19.95,60.0,4.3,5,19.95,0.0,0.0,0.0,0.0,29
0.0,0.0,4.5,109,35.99,0.0,0.0,1.0,0.0,13
29.6,59.0,4.6,322,29.6,1.0,0.0,0.0,0.0,25
17.59,21.99,4.5,509,17.59,1.0,0.0,1.0,0.0,29
38.5,70.0,4.7,15,38.5,0.0,0.0,1.0,0.0,27
31.99,39.99,4.5,107,31.99,0.0,0.0,1.0,0.0,34
35.0,0.0,4.7,166,35.0,1.0,0.0,1.0,0.0,41
69.99,0.0,5.0,4,69.99,1.0,0.0,1.0,0.0,14
47.34,70.0,0.0,0,47.34,1.0,0.0,1.0,0.0,15
29.99,49.99,4.6,33,29.99,0.0,0.0,0.0,0.0,0
58.71,99.0,4.6,674,58.71,1.0,0.0,1.0,0.0,18
34.39,42.99,4.2,6627,34.39,1.0,0.0,0.0,0.0,11
39.89,49.99,4.4,5964,39.89,1.0,0.0,0.0,0.0,50
81.0,154.95,4.4,6865,81.0,1.0,1.0,0.0,0.0,257
59.98,69.98,4.3,4147,59.98,1.0,0.0,0.0,0.0,219
39.9,0.0,4.2,457,39.9,1.0,0.0,1.0,0.0,25
24.95,26.16,4.1,23,24.95,1.0,0.0,1.0,0.0,22
34.95,0.0,4.4,673,34.95,0.0,0.0,1.0,0.0,25
25.9,0.0,4.2,15651,25.9,1.0,0.0,1.0,0.0,3
49.9,70.0,4.1,626,49.9,0.0,0.0,1.0,0.0,38
34.99,0.0,4.4,123,34.99,0.0,0.0,0.0,0.0,38
26.39,32.99,4.4,87,26.39,1.0,0.0,1.0,0.0,43
39.99,64.99,4.6,119,39.99,0.0,0.0,1.0,0.0,19
49.99,75.0,4.5,79,49.99,1.0,0.0,1.0,0.0,43
26.27,55.0,3.9,158,26.27,1.0,0.0,1.0,0.0,43
15.39,24.99,4.1,109,15.39,1.0,0.0,1.0,0.0,25
17.99,18.99,3.3,85,17.99,1.0,0.0,1.0,0.0,12
39.99,65.0,4.4,166,39.99,0.0,0.0,1.0,0.0,22
88.42,0.0,4.6,684,88.42,1.0,0.0,1.0,0.0,14
58.16,75.0,4.7,37,58.16,1.0,0.0,1.0,0.0,32
41.11,65.0,4.6,38,41.11,1.0,0.0,1.0,0.0,61
46.33,69.99,4.4,5299,46.33,1.0,0.0,1.0,0.0,128
49.21,65.0,4.8,82,49.21,1.0,0.0,1.0,0.0,29
29.99,0.0,4.2,7902,29.99,1.0,0.0,1.0,0.0,51
56.97,79.99,4.5,3215,56.97,1.0,0.0,1.0,0.0,18
31.19,49.99,4.4,1934,31.19,1.0,0.0,1.0,0.0,73
44.02,85.0,4.2,2886,44.02,1.0,0.0,1.0,0.0,2
46.99,79.0,4.1,42,46.99,1.0,0.0,1.0,0.0,31
56.03,80.0,3.7,7,56.03,0.0,0.0,1.0,0.0,30
0.0,0.0,4.6,1819,124.49,0.0,0.0,1.0,0.0,114
36.2,75.0,4.5,1090,36.2,1.0,0.0,1.0,0.0,3
51.35,79.0,4.4,79,51.35,1.0,0.0,1.0,0.0,50
74.26,0.0,4.3,116,74.26,0.0,0.0,1.0,0.0,355
31.99,59.99,4.2,37407,31.99,1.0,0.0,1.0,0.0,29
43.99,60.0,4.4,508,43.99,0.0,0.0,1.0,0.0,12
59.46,70.0,4.6,1473,59.46,1.0,0.0,1.0,0.0,31
59.15,78.0,4.6,533,59.15,0.0,0.0,1.0,0.0,46
35.7,75.0,5.0,7,35.7,1.0,0.0,1.0,0.0,13
39.61,0.0,4.3,87,39.61,0.0,0.0,1.0,0.0,14
39.98,0.0,4.3,3489,39.98,1.0,0.0,1.0,0.0,20
65.83,100.0,4.4,182,65.83,1.0,0.0,1.0,0.0,73
66.99,99.0,4.7,33,66.99,1.0,0.0,1.0,0.0,40
113.01,127.31,4.3,44,113.01,0.0,0.0,1.0,0.0,19
39.97,55.99,4.1,19198,39.97,1.0,0.0,1.0,0.0,229
48.75,65.0,4.3,836,48.75,1.0,0.0,1.0,0.0,48
39.99,79.0,4.5,49,39.99,1.0,0.0,1.0,0.0,27
38.99,70.0,5.0,5,38.99,0.0,0.0,1.0,0.0,54
39.99,49.99,4.5,454,39.99,0.0,0.0,1.0,0.0,10
34.0,0.0,4.5,2692,34.0,1.0,0.0,1.0,0.0,19
45.0,65.0,4.5,267,45.0,0.0,0.0,1.0,0.0,31
28.77,75.0,4.0,24,28.77,1.0,0.0,1.0,0.0,20
42.99,0.0,4.0,2723,42.99,1.0,0.0,1.0,8.0,3
37.99,39.98,4.3,4578,37.99,1.0,0.0,1.0,0.0,33
45.0,65.0,4.5,267,45.0,0.0,0.0,1.0,0.0,49
140.0,0.0,4.3,7101,140.0,0.0,0.0,1.0,0.0,797
28.77,75.0,4.0,24,28.77,1.0,0.0,1.0,0.0,43
42.99,0.0,4.0,2723,42.99,1.0,0.0,1.0,8.0,9
37.99,39.98,4.3,4578,37.99,1.0,0.0,1.0,0.0,20
33.5,49.95,4.3,58,33.5,1.0,0.0,1.0,0.0,47
35.98,39.98,4.1,92,35.98,1.0,0.0,1.0,0.0,47
58.99,0.0,5.0,2,58.99,0.0,0.0,1.0,0.0,27
0.0,0.0,4.6,7709,99.0,0.0,0.0,1.0,0.0,43
45.5,0.0,4.5,63,45.5,1.0,0.0,0.0,0.0,22
12.99,0.0,4.1,12,12.99,0.0,0.0,1.0,0.0,46
33.84,39.9,4.3,3662,33.84,1.0,0.0,1.0,0.0,25
34.99,0.0,4.6,37,34.99,1.0,0.0,0.0,0.0,35
42.95,65.0,4.6,38,42.95,1.0,0.0,1.0,0.0,39
21.59,26.99,4.2,151,21.59,1.0,0.0,1.0,0.0,29
42.99,69.95,4.4,8518,42.99,1.0,0.0,1.0,0.0,154
46.99,0.0,4.1,768,46.99,1.0,0.0,1.0,0.0,42
49.0,75.0,4.4,4750,49.0,1.0,0.0,1.0,0.0,27
